id;code;libelle
1;Bedfordshire copy generate;online transmit
2;Car Director Czech Koruna;silver Electronics Consultant
3;Branding Forward functionalities;payment
4;Meadows;panel dynamic
5;Metal navigate;lavender deposit Bond Markets Units European Composite Unit (EURCO)
6;Bacon deposit;Investment Account deposit Corporate
7;Tasty Concrete integrated;Salad Automotive
8;monitor Belize Dollar Rustic;HTTP Checking Account Berkshire
9;National;motivating Sausages Table
10;Personal Loan Account;Customer-focused Clothing Automotive
