id;libelle;pourcentage;note
1;Human;Berkshire;Designer British Indian Ocean Territory (Chagos Archipelago) Tennessee
2;Baby mission-critical Usability;Azerbaijan Cote d'Ivoire;black
3;Technician;Gloves;violet Metrics Data
4;Syrian Arab Republic;virtual Cross-platform interactive;Equatorial Guinea Money Market Account
5;Industrial;Wisconsin Overpass orange;interfaces
6;scalable Roads compressing;Persevering Cliff Rhode Island;navigating bluetooth
7;gold;mobile;Ergonomic impactful
8;Silver orange Concrete;attitude National maroon;Global Cambridgeshire
9;neutral Money Market Account gold;Optimized Avon Ville;Bedfordshire SMS
10;Markets bluetooth;Beauty Investment Account Rustic Wooden Bacon;Berkshire
